mes,publico,estado,n,compras_30d,conversao_30d,ic95_inf_30d,ic95_sup_30d,compras_90d,conversao_90d,ic95_inf_90d,ic95_sup_90d,compras_179d,conversao_179d,ic95_inf_179d,ic95_sup_179d
2025-12-01,Não-membro,Oportunidade,386,5,0.012953367875647668,0.005545171965420342,0.02996053086362612,19,0.04922279792746114,0.03173520154735529,0.07559454468803878,46,0.11917098445595854,0.09054356714994198,0.15530397708340815
2025-12-01,Não-membro,Prospect,537,6,0.0111731843575419,0.005130483122957122,0.024160163158689855,22,0.040968342644320296,0.027208051251440456,0.06124964135208708,38,0.07076350093109869,0.05198667537452373,0.09563806355088436
2026-01-01,Ex-membro,Contato,10678,39,0.003652369357557595,0.0026730326634007216,0.004988717347945636,216,0.02022850721108822,0.017725690279835133,0.023076412608490793,451,0.04223637385278142,0.03858323421179942,0.046218772213759265
2026-01-01,Ex-membro,Lead engajado,1983,27,0.01361573373676248,0.009374250157842653,0.019738085722380512,124,0.06253151790216843,0.05269743616156665,0.07405730865553402,211,0.10640443772062531,0.0935852113039525,0.12074571472457438
2026-01-01,Ex-membro,Oportunidade,183,7,0.03825136612021858,0.018650132009463204,0.07684037973952632,27,0.14754098360655737,0.10342152716176932,0.2061540705637907,42,0.22950819672131148,0.1745158408348141,0.2956235713731739
2026-01-01,Não-membro,Contato,80427,52,0.0006465490444751141,0.00049311487606454,0.000847684223568405,272,0.0033819488480236735,0.003003738864718967,0.0038075985414533445,685,0.00851704029741256,0.007904996353732685,0.009176033418806706
2026-01-01,Não-membro,Lead engajado,6979,13,0.0018627310502937384,0.001088938479571941,0.003184622587601629,56,0.00802407221664995,0.006184692589320914,0.010404771505067252,120,0.017194440464249894,0.014399434949011603,0.02052067551146341
2026-01-01,Não-membro,Oportunidade,402,10,0.024875621890547265,0.01356683261960211,0.04517923973966319,34,0.0845771144278607,0.06115363316045607,0.11586518403324711,55,0.13681592039800994,0.10664272835096635,0.17386474057287
2026-01-01,Não-membro,Prospect,613,11,0.01794453507340946,0.010048835858444186,0.031844577296570004,30,0.048939641109298535,0.0344929405591603,0.06900461861972779,49,0.0799347471451876,0.0609899449100582,0.10411176029270376
2026-02-01,Ex-membro,Contato,11402,123,0.010787581126118224,0.009049376544083937,0.012855328848282723,255,0.022364497456586564,0.019806914197806787,0.025243825416181885,481,0.042185581476933874,0.03864750190340869,0.04603205387790254
